X,Landmark1,Landmark2,Landmark3
D. bartletti,76.7,29.5,7.5
D. bartletti,60.5,32.1,6.3
D. bartletti,96.1,40.7,4.2
D. bartletti,88.1,45.1,4.9
D. bartletti,50.2,34.1,11.7
D. bartletti,55,31.1,6.9
D. bartletti,65.4,21.6,4.3
D. bartletti,65.7,27.7,5.3
D. costa,67.3,48.3,5.5
D. costa,61.3,28.9,6.9
D. costa,58.2,42.5,4.8
D. costa,76.9,20.4,3
D. costa,66.9,23.9,1.1
D. costa,55.4,29.1,5
D. costa,50.5,18,4.8
D. costa,64.1,14.5,3.7
D. maui,62.8,25.9,2.9
D. maui,45,15.9,1.2
D. maui,47.8,36.1,4.1
D. maui,75.6,27.7,6.3
D. maui,46.6,46.9,3.6
D. maui,50.6,29.7,4.7
D. maui,45.7,27.6,6.2
D. maui,68.4,35.3,1.9
D. corsa,52.5,39,3.1
D. corsa,80,54.2,4
D. corsa,54.7,32.1,5.7
D. corsa,63.5,25.6,3
D. corsa,46.3,31.8,7.4
D. corsa,61.5,16.8,1.9
D. corsa,62.9,25.8,2.4
D. corsa,49.3,39.4,5.2
