X,y1,y2,y3
1,0.00021386,0.00018338,0.00039724
1,0.00197083,0.00038008,0.00235091
1,0.00013766,0.00015973,0.0002974
2,0.00019362,0.00011489,0.00030851
2,0.00022579,0.00007449,0.00030028
2,0.00019022,0.00009543,0.00028564
3,0.00009223,0.00008429,0.00017651
3,0.00012657,0.0001254,0.00025197
3,0.00017581,0.00011037,0.00028617
4,0.00010982,0.00020013,0.00030995
4,0.00096465,0.00100445,0.00196911
4,0.00024684,0.00039369,0.00064052
5,0.00006633,0.00011329,0.00017962
5,0.00003245,0.00006271,0.00009516
5,0.00021215,0.00016244,0.00037458
6,0.00015294,0.00008673,0.00023967
6,0.00003973,0.00003785,0.00007758
6,0.00015707,0.00003113,0.0001882
7,0.00093774,0.00029444,0.00123219
7,0.0000407,0.00003826,0.00007897
7,0.0001263,0.00006627,0.00019257
8,0.00011473,0.00011438,0.00022911
8,0.00140502,0.0009245,0.00232952
8,0.00093774,0.00003113,0.00007758
